"training_phrases","core_facts","ai_action"
"versys v-strom vstrom gs bmw triumph tracer tracer900 cb650 mt09 mt07 วีสตรอม royal enfield ktm z900 rebel nc750 kawasaki suzuki ดูคาติ ducati harley ฮาร์เลย์ bmw gs tiger รถแบรนด์อื่น bigbike แบรนด์อื่น เวอซิส vstom จีเอส bmwgs ไทเกอร์ รอยัลเอนฟิลด์ เคทีเอ็ม ซีบี650 mt-09 mt-07 rebel500 nc750x z900rs ktm390 ktm250","- รถ BigBike/Adventure แบรนด์อื่นที่นอกเหนือจาก HONDA (ที่ DINOCO รองรับ) ปัจจุบันยังไม่มีแร็คหรือกันล้มตรงรุ่น / - แต่ใส่กล่อง DINOCO ได้ถ้ารถมีแร็คท้ายอยู่แล้ว / - ห้ามพูดว่ากำลังพัฒนาหรือเร็วๆ นี้จะมี","guideline: แจ้งไม่มีตรงรุ่น + เสนอกล่อง Universal / ข้อห้าม: ห้ามกุสินค้าที่ไม่มีในระบบ ห้ามอ้างว่ากำลังพัฒนา / sample: ต้องขออภัยด้วยนะคะ 🙏 ปัจจุบัน DINOCO ยังไม่มีแร็คหรือกันล้มตรงรุ่นนี้ค่ะ แต่ถ้ารถติดแร็คท้ายของแบรนด์อื่นไว้แล้ว สามารถนำกล่อง DINOCO ไปติดตั้งใช้งานได้เลยค่ะ"
"รุ่นอื่น wave pcx xmax lead nmax aerox gpx drone lambretta เวฟ พีซีเอ็ก เอ็กแม็ก ฟีโน่ ซูเมอร์ click scoopy คลิก สกู๊ปปี้ เอ็นแม็ก pcx160 pcx2024 nmax2024 xmax300 ยามาฮ่า yamaha รถเล็ก เวฟ110 เวฟ125 คลิก125 คลิก150 nmax155 aerox155 pcx160 ฟิโน scoopy2024 gpx drone lambreda ลาบเบรต้า ลาเบรต้า แลมเบรตต้า เวฟ110i เวฟ125i click160","- DINOCO ไม่ผลิตแร็คและกันล้มสำหรับรถเล็ก / - แต่สามารถติดตั้ง กล่องอลูมิเนียม ได้หากมีแร็คท้ายยี่ห้ออื่นอยู่แล้ว / - ห้ามกุสินค้าที่ไม่มีในระบบ ห้ามอ้างว่ากำลังพัฒนา","guideline: แจ้งไม่มีตรงรุ่น + เสนอกล่อง Universal ถ้ามีแร็คท้ายอยู่แล้ว / ข้อห้าม: ห้ามกุสินค้าที่ไม่มีในระบบ ห้ามอ้างว่ากำลังพัฒนา / tool: ถ้าลูกค้าสนใจกล่อง ให้เรียก dinoco_product_lookup ก่อนว่ามีจริง / sample: ต้องขออภัยด้วยค่ะ 😥 ปัจจุบันเรายังไม่มีแร็คหรือกันล้มตรงรุ่นรถนี้ค่ะ แต่ถ้ามีแร็คท้าย (ตะแกรงหลัง) ของแบรนด์อื่นติดรถไว้อยู่แล้ว สามารถซื้อเฉพาะกล่องอลูมิเนียม DINOCO ไปวางยึดติดใช้งานได้เลยนะคะ"
"ตัวแทน ภาคอีสาน โคราช อุดร หนองคาย อุบล ขอนแก่น ร้านโคราช ร้านอุดร ร้านอุบล ตัวแทนอีสาน ซื้อที่ไหนอีสาน ร้านภาคอีสาน ร้านขอนแก่น นครราชสีมา อุดรธานี อุบลราชธานี โคราส อุดรทานี อุบลราชทานี อุดธานี ขอนแกน ร้านอุดรทานี","- โคราช: DC MOTO KORAT โทร 086-874-7490 / อุดรธานี: Multiply Bigbike โทร 084-515-5192 / หนองคาย: X2Shop โทร 080-408-0235 / อุบลราชธานี: 89 Garage โทร 096-090-9939 และ D-Touring โทร 061-954-4747 / ข้อมูลตัวแทนอาจมีการเปลี่ยนแปลง ควรเรียก tool dinoco_dealer_lookup เพื่อข้อมูลล่าสุดเสมอ","guideline: แจ้งร้านตัวแทนตามจังหวัด + เสนอโทรเช็คสต็อกก่อน / tool: เรียก dinoco_dealer_lookup ก่อนตอบ / ข้อห้าม: ห้ามกุชื่อร้านที่ไม่มีอยู่จริง / sample: สำหรับตัวแทนภาคอีสาน มีพร้อมให้บริการหลายจังหวัดเลยค่ะ 📍 สะดวกจังหวัดไหน โทรเช็คสต็อกสินค้ากับร้านได้เลยค่ะ"
"ตัวแทน ภาคเหนือ เชียงใหม่ เชียงราย พะเยา ร้านเชียงใหม่ ตัวแทนเชียงใหม่ ซื้อที่ไหนเชียงใหม่ ร้านภาคเหนือ ตัวแทนภาคเหนือ ร้านแถวเชียงใหม่ ลำปาง ลำพูน เชียงไหม่ เชียงใหม เชี่ยงใหม่ ร้านเชียงไหม ร้านcnx เชียงรายมีมั้ย พะเยามีมั้ย","- CNX Motogear (เชียงใหม่) โทร 093-645-4788 / ข้อมูลตัวแทนอาจมีการเปลี่ยนแปลง ควรเรียก tool dinoco_dealer_lookup เพื่อข้อมูลล่าสุดเสมอ","guideline: แจ้งร้านตัวแทน + เสนอโทรเช็คสต็อก / tool: เรียก dinoco_dealer_lookup ก่อนตอบ / sample: สำหรับภาคเหนือ แอดมินแนะนำร้าน CNX Motogear ที่เชียงใหม่ค่ะ 📍 โทร 093-645-4788 สอบถามสต็อกสินค้ากับทางร้านได้เลยนะคะ"
"ตัวแทน สมุทรปราการ ร้านสมุทรปราการ ร้านแถวบางนา ปากน้ำ ร้านบางนา ตัวแทนสมุทรปราการ ซื้อที่ไหนสมุทรปราการ ร้านแถวสมุทรปราการ สมุทปราการ สมุดปราการ บางนา แถวบางนา ร้านปากน้ำ สมุทร","- ร้านป้ายยา Racing โทร 085-491-6545 / ข้อมูลตัวแทนอาจมีการเปลี่ยนแปลง ควรเรียก tool dinoco_dealer_lookup เพื่อข้อมูลล่าสุดเสมอ","guideline: แจ้งร้านตัวแทน + เสนอโทรเช็คสต็อก / tool: เรียก dinoco_dealer_lookup ก่อนตอบ / sample: สำหรับโซนสมุทรปราการและบางนา แอดมินแนะนำร้าน ป้ายยา Racing ค่ะ 📍 โทร 085-491-6545 โทรสอบถามคิวช่างได้เลยนะคะ"
"ตัวแทน นนทบุรี ร้านนนทบุรี ปทุมธานี รังสิต ร้านแถวนนท์ ร้านปทุม ร้านรังสิต ตัวแทนนนทบุรี ซื้อที่ไหนนนทบุรี ร้านแถวปทุม นนท นนทบุร ปทุม รังสิด ปทุมทานี ร้านนนท","- TOUGH Design (นนทบุรี) โทร 098-129-8777 / ClubMoto (นนทบุรี) โทร 080-100-8881 / ข้อมูลตัวแทนอาจมีการเปลี่ยนแปลง ควรเรียก tool dinoco_dealer_lookup เพื่อข้อมูลล่าสุดเสมอ","guideline: แจ้งร้านตัวแทน + เสนอโทรเช็คสต็อก / tool: เรียก dinoco_dealer_lookup ก่อนตอบ / sample: สำหรับพื้นที่นนทบุรีและใกล้เคียง แอดมินแนะนำ TOUGH Design (098-129-8777) และ ClubMoto (080-100-8881) ค่ะ 📍 โทรเช็คสต็อกก่อนเข้าไปนะคะ"
"ตัวแทน กทม ตัวแทนกรุงเทพ ร้านในกรุงเทพ ซื้อที่ไหน กทม ร้านแถวลาดพร้าว ลาดพร้าว ร้านแถวรามอินทรา รามอินทรา ฝั่งธน ดอนเมือง มีนบุรี บางเขน ยานนาวา ตลิ่งชัน สาทร สีลม บางซื่อ จตุจักร อ่อนนุช สุขุมวิท บางกะปิ อารีย์ สะพานควาย ห้วยขวาง บางแค พุทธมณฑล พระราม ร้านกรุงเทพ ซื้อที่ไหนกทม ตัวแทนกรุงเทพ ร้านแถวกรุงเทพ กรุงเทพ บางนา สุขุมวิท ลาดพร้าว ร้านlp ร้านรามฯ ร้านbkk","- โซนบางเขนและรามอินทรา: FOX RIDER SHOP โทร 086-035-5678 / โซนยานนาวาและพระราม3: Garaji Service โทร 086-520-9406 / โซนตลิ่งชัน: ไอซ์เซอร์วิส โทร 087-551-6494 / ข้อมูลตัวแทนอาจมีการเปลี่ยนแปลง ควรเรียก tool dinoco_dealer_lookup เพื่อข้อมูลล่าสุดเสมอ","guideline: แนะนำร้านตามโซนที่ลูกค้าอยู่ + เสนอโทรเช็คสต็อก / tool: เรียก dinoco_dealer_lookup ก่อนตอบ / ข้อห้าม: ห้ามกุชื่อร้านที่ไม่มีอยู่จริง / sample: สำหรับ กทม. แอดมินแนะนำตามโซนนะคะ 📍 / โซนบางเขน รามอินทรา → ร้าน FOX RIDER SHOP โทร 086-035-5678 / โซนยานนาวา พระราม3 → ร้าน Garaji Service โทร 086-520-9406 / โซนตลิ่งชัน ฝั่งธน → ร้าน ไอซ์เซอร์วิส โทร 087-551-6494 / แนะนำโทรเช็คสต็อกก่อนเข้าไปนะคะ"
"ปี๊บ ปี๊ป ปิ้บ ปิ๊บ ปี๊บหลัง กล่องท้าย topbox ท็อปบ็อก กล่องเก็บของท้ายรถ กล่องหลัง top case topcase ปี๊ปหลัง ท็อปเคส กล่องอลู กล่องอลูมิเนียม กล่องเหล็ก ป๊ีบ ปิ๊ป ปี้บ ป๊ิบ กล่องaluminium กล่องalu topbox กล่องหลังรถ กล่องท้ายรถ","- คำศัพท์ที่บริษัทใช้เรียกคือ กล่องอลูมิเนียมหลัง (Top Case) / - การติดกล่องหลังต้องมี แร็คท้าย (Top Rack) เป็นฐานรองรับเสมอ / - มี 2 ขนาด: 45L และ 55L","guideline: อธิบายคำศัพท์ + แจ้งว่าต้องมีแร็คท้ายก่อน + ถามรุ่นรถ / tool: เรียก dinoco_product_lookup เมื่อรู้รุ่นรถ / sample: สำหรับกล่องใส่สัมภาระด้านหลัง เราเรียกว่า กล่องอลูมิเนียมหลัง (Top Case) ค่ะ 💡 ข้อสำคัญคือต้องมี แร็คท้าย ติดตั้งเป็นฐานรองรับก่อนนะคะ คุณลูกค้าใช้รถรุ่นอะไรคะ แอดมินเช็คให้ค่ะ"
"แคชบาร์ crash bar crashbar กันล้ม โครงเหล็กกันรถ เหล็กกันล้ม การ์ดเครื่อง แครชบาร์ แคชบา กันล้มคืออะไร สินค้าป้องกันรถ โครงกัน เหล็กป้องกัน กันกระแทก guard engine guard กันล้มมีกี่แบบ แค้ชบาร์ แค็ชบาร์ แคชบา crashba แครชบา เหล็กกันล้ม engine bar เหล็กกัน กันรถล้ม กันตก","- คำศัพท์ที่บริษัทใช้เรียกคือ กันล้ม (Crash Bar) / - มีทั้งกันล้มบน และกันล้มล่าง / - วัสดุมีทั้งเหล็ก (Iron) และสแตนเลส (Stainless)","guideline: อธิบายคำศัพท์ + ถามรุ่นรถ + เสนอเช็คสินค้า / tool: เรียก dinoco_product_lookup เมื่อรู้รุ่นรถ / ข้อห้าม: ห้ามกุสินค้าที่ไม่มีในระบบ / sample: สินค้าประเภทโครงเหล็กป้องกันตัวรถและเครื่องยนต์ เราเรียกว่า กันล้ม ค่ะ มีทั้ง กันล้มบน และ กันล้มล่าง คุณลูกค้าสนใจติดตั้งกับรถรุ่นไหนอยู่คะ แอดมินเช็คข้อมูลสเปคที่ตรงรุ่นให้ค่ะ"
"เคลมนานไหม ใช้เวลาซ่อมนานไหม รอเคลมกี่วัน ซ่อมกี่วัน รอนานไหม ส่งซ่อมกี่วัน เคลมใช้เวลานานมั้ย ระยะเวลาเคลม ส่งเคลมรอนานไหม กี่วันได้คืน ซ่อมนานมั้ย ได้คืนเมื่อไหร่ เคลมนานมั้ย ซ่อมกี่วันได้ เคลมกี่วัน ส่งซ่อมนาน ซ่อมนานป่ะ","- กรณีผลิตผิดพลาด 15-30 วัน / กรณีอุบัติเหตุต้องดัดโครงสร้างหรือทำสี 30-45 วัน","guideline: แจ้งระยะเวลาตามกรณี + อธิบายเหตุผลสั้นๆ / sample: สำหรับระยะเวลาเคลม กรณีข้อบกพร่องจากการผลิตจะใช้เวลาประมาณ 15-30 วันค่ะ แต่ถ้าเป็นกรณีอุบัติเหตุที่ต้องซ่อมดัดและทำสีใหม่ จะใช้เวลาประมาณ 30-45 วันทำการค่ะ เนื่องจากช่างต้องเช็คศูนย์ให้เป๊ะเพื่อความปลอดภัยที่สุดค่ะ รบกวนรอนิดนึงนะคะ 🙏"
"ใบรับประกันหาย ไม่ได้ลงทะเบียนประกัน ซื้อต่อมา มือสองมีประกันไหม ประกันติดรถไหม ประกันหาย หาใบประกันไม่เจอ ไม่ได้สแกน QR ซื้อมือสอง ประกันมือสอง โอนประกันได้ไหม ประกันยังใช้ได้ไหม เช็คประกัน เช็คสิทธิ์ประกัน ประกันหมดยัง ใบประกันหาย ไม่ได้สแกนqr มือ2 มือสอง ซื้อต่อ ประกันมือ2 โอนประกัน เช็คserial เช็คประกัน warranty check","- หากเคยสแกน QR ลงทะเบียนแล้ว แจ้งเบอร์โทรหรือ serial เช็คได้ / - สินค้ามือสอง สิทธิ์รับประกัน 5 ปีจะขาด (โอนไม่ได้) แต่ยังส่งซ่อมแบบมีค่าใช้จ่ายได้","guideline: ถามเบอร์โทรหรือ serial + แยกกรณีมือ1 vs มือ2 / tool: เรียก dinoco_warranty_check เมื่อได้ serial/เบอร์โทร / sample: กรณีใบประกันหาย สามารถแจ้งชื่อหรือเบอร์โทรให้แอดมินเช็คสิทธิ์ในระบบได้เลยค่ะ ส่วนกรณีสินค้ามือสอง สิทธิ์ประกันจะสิ้นสุดที่เจ้าของมือแรกนะคะ แต่ยังส่งซ่อมได้ค่ะ อาจมีค่าใช้จ่ายตามอาการจริงค่ะ"
"แย่มาก บริการไม่ดี ส่งช้า ตำหนิ ไม่พอใจ ห่วย ขอเคลม แจ้งเคลม สินค้ามีปัญหา พัง รอยร้าว น้ำเข้ากล่อง สนิมขึ้น ของเสีย ไม่ดี เสียใจ ผิดหวัง สินค้าไม่ดี ร้องเรียน complain เคลมสินค้า แจ้งปัญหา ชำรุด ของเสียหาย กล่องรั่ว ห่วยมาก บริการแย่ สินค้าเห่ย เคลมได้มั้ย ส่งเคลม จะเคลม เอาไปเคลม กล่องพัง กล่องร้าว กล่องแตก น้ำเข้า สนิม ไม่พอใจเลย complaint แจ้งเคลมค่ะ แจ้งเคลมครับ","- การเปิดเคลมต้องใช้ 1.ภาพจุดที่มีปัญหา 2.ภาพรถเต็มคัน 3.ใบประกันหรือเบอร์โทร / - ลูกค้าไม่พอใจ = urgent priority ต้องส่งต่อทีมดูแลทันที","guideline: ขอโทษก่อนเสมอ + ถามความปลอดภัยลูกค้าก่อน + ขอภาพถ่าย / tool: เมื่อได้ข้อมูลครบ เรียก dinoco_escalate / ข้อห้าม: ห้ามโทษลูกค้า ห้ามแก้ตัว / sample: แอดมินต้องขออภัยอย่างสูงนะคะ 🙏 ก่อนอื่น ปลอดภัยดีไหมคะ เพื่อเปิดใบเคลม รบกวนคุณลูกค้าส่ง ภาพถ่ายจุดที่มีปัญหาชัดๆ และ ภาพถ่ายรถเต็มคัน ทิ้งไว้ในแชทนี้ได้เลยนะคะ จะรีบประสานงานทีมช่างให้ด่วนที่สุดค่ะ"
"มุมพลาสติกแตก มุมกล่องแตก เปลี่ยนมุมกล่อง มุมABSแตก มุมพลาสติกหัก เปลี่ยนมุม มุมแตก มุมหัก กล่องตกมุมแตก ล้มแปะมุมแตก มุมพังเปลี่ยนได้ไหม เปลี่ยนมุมฟรีไหม มุมabs มุมพัง มุมกล่องพัง มุมหัก ขอเปลี่ยนมุม มุมแตก เปลี่ยนมุมได้มั้ย มุมกล่องร้าว","- กรณีอุบัติเหตุจนมุมพลาสติกแตก บริษัทเปลี่ยนมุมพลาสติกให้ ฟรี ไม่จำกัดจำนวนครั้ง / - แต่แนะนำให้ขับชินก่อนค่อยส่งมา เพราะช่วงแรกอาจล้มบ่อย / - ระยะเวลาเปลี่ยนมุม 30-50 วัน (รวมส่งไป-กลับ) / - ลูกค้าส่งกล่องเข้ามาปรับปรุงสภาพที่โรงงานได้เลย","guideline: แจ้งนโยบายเปลี่ยนมุมฟรีไม่จำกัดครั้ง + แนะนำขับชินก่อน + ใช้เวลา 30-50 วัน / sample: สบายใจได้เลยค่ะ มุมพลาสติกแตก เปลี่ยนให้ฟรีไม่จำกัดจำนวนครั้งค่ะ แต่แนะนำให้ขับชินกับรถก่อนสักนิดนะคะ ค่อยส่งมาเปลี่ยนทีเดียว ใช้เวลาประมาณ 30-50 วันค่ะ"
"ปี๊บข้าง กล่องข้าง sidebox ไซด์บ็อก กระเป๋าข้าง ปิ้ปข้าง side case ไซด์เคส ปี๊ปข้าง กล่องข้างอลูมิเนียม กล่องข้างอลู side box ปิ๊บข้าง ไซด์บอก์ กล่องข้างอลู sidebox sidecase กล่อง2ข้าง ปี๊บ2ข้าง","- คำศัพท์ที่บริษัทใช้เรียกคือ กล่องข้างอลูมิเนียม (Side Case) / - การติดกล่องข้างต้องมี แร็คข้าง (Side Rack) ของ DINOCO รองรับ / - กล่องข้างอลูมิเนียม DINOCO มีเฉพาะรุ่น NX500 และ CB500X เท่านั้น ห้ามแนะนำกล่องข้างให้ ADV350 Forza350 เด็ดขาด","guideline: อธิบายคำศัพท์ + แจ้งว่าต้องมีแร็คข้าง + แจ้งว่ามีเฉพาะ NX500/CB500X / ข้อห้าม: ห้ามแนะนำกล่องข้างให้ ADV350/Forza350 เด็ดขาด / sample: กล่องที่ติดด้านข้างตัวรถ เราเรียกว่า กล่องข้างอลูมิเนียม ค่ะ 💡 ต้องมี แร็คข้าง ตรงรุ่นของ DINOCO ด้วยนะคะ สินค้ากล่องข้างมีเฉพาะรุ่น NX500 และ CB500X ค่ะ"
"แร็ค แร็ก แร๊ก ตะแกรง แร๊ค rack แร็คคืออะไร แร็คหลัง แร็คข้าง ตะแกรงท้าย top rack side rack เหล็กยึดกล่อง โครงยึดกล่อง แร๊ก แร้ค แร้ก ตะแกรงหลัง ตะแกรงข้าง rack คืออะไร โครงเหล็กยึด แร็คท้าย เหล็กท้าย เหล็กยึดกล่อง","- โครงเหล็กสำหรับยึดกล่องเรียกว่า แร็ค (Rack) / - แบ่งเป็น แร็คหลัง (Top Rack) และ แร็คข้าง (Side Rack) / - แร็คข้างมีเฉพาะ NX500 และ CB500X","guideline: อธิบายคำศัพท์ + ถามว่าต้องการแร็คส่วนไหน + ถามรุ่นรถ / tool: เรียก dinoco_product_lookup เมื่อรู้รุ่นรถ / sample: โครงเหล็กสำหรับยึดกล่อง เราเรียกว่า แร็ค ค่ะ มี แร็คหลัง สำหรับวางถาดกล่องท้าย และ แร็คข้าง สำหรับแขวนยึดกล่องข้างค่ะ คุณลูกค้ามองหาแร็คส่วนไหนอยู่คะ"
"ตัวแทน ภาคตะวันออก ชลบุรี ระยอง พัทยา ร้านชลบุรี ร้านระยอง ร้านพัทยา ตัวแทนชลบุรี ซื้อที่ไหนชลบุรี ร้านแถวชลบุรี ตัวแทนพัทยา ร้านภาคตะวันออก ชนบุรี ชลบุร ระยง พัทยา ร้านพัทยา ร้านชลบุร ศรีราชา บางแสน","- Touring Rider Shop (พัทยา) โทร 081-775-5136 / ข้อมูลตัวแทนอาจมีการเปลี่ยนแปลง ควรเรียก tool dinoco_dealer_lookup เพื่อข้อมูลล่าสุดเสมอ","guideline: แจ้งร้านตัวแทน + เสนอโทรเช็คสต็อก / tool: เรียก dinoco_dealer_lookup ก่อนตอบ / sample: สำหรับภาคตะวันออก แอดมินแนะนำร้าน Touring Rider Shop ที่พัทยาค่ะ 📍 โทร 081-775-5136 ช่างที่ร้านดูแลงานติดตั้งดีเยี่ยมเลยค่ะ"
"ตัวแทน ภาคใต้ ภูเก็ต สงขลา สตูล หาดใหญ่ สุราษฎร์ ร้านภูเก็ต ร้านหาดใหญ่ ร้านสงขลา ตัวแทนภาคใต้ ซื้อที่ไหนภาคใต้ ร้านแถวภูเก็ต ตัวแทนสตูล ร้านสุราษฎร์ ภูเก้ต ภูเกต ภูเก็ด หาดไหญ่ สงขลา สตูล phuket hatyai","- สงขลาและหาดใหญ่: Zaam Bigbike โทร 083-169-2907 / สตูล: ศ.แมงกะไซค์ โทร 081-540-6922 / ภูเก็ต: Prasut Bigbike โทร 080-006-7270 / ข้อมูลตัวแทนอาจมีการเปลี่ยนแปลง ควรเรียก tool dinoco_dealer_lookup เพื่อข้อมูลล่าสุดเสมอ","guideline: แจ้งร้านตัวแทนตามพื้นที่ + เสนอโทรเช็คสต็อก / tool: เรียก dinoco_dealer_lookup ก่อนตอบ / sample: สำหรับภาคใต้ แอดมินแนะนำร้านตามพื้นที่เลยค่ะ 📍 สะดวกจังหวัดไหน โทรเช็คสต็อกสินค้ากับร้านก่อนเข้าไปได้เลยนะคะ"
"ค่าติดตั้ง ติดตั้งฟรีไหม ค่าแรงช่าง คิดค่าติดเท่าไหร่ ค่าแรงติดตั้ง ติดฟรีมั้ย คิดค่าแรงไหม ค่าช่าง ติดตั้งเท่าไหร่ ค่าติดกี่บาท ค่าช่างเท่าไร่ ติดเองได้ไหม ค่าติด ติดฟรีป่ะ ค่าแรงกี่บาท ค่าช่างติดตั้ง ค่าแรง ติดให้ฟรีมั้ย ค่าแรงติด ติดตั้งยากไหม","- ค่าติดตั้งขึ้นอยู่กับนโยบายของตัวแทนจำหน่ายแต่ละร้าน (บางร้านฟรี บางร้านคิดค่าแรง) / - DINOCO ไม่ได้กำหนดราคาค่าติดตั้งส่วนกลาง","guideline: แจ้งว่าขึ้นอยู่กับร้านตัวแทน + แนะนำโทรถามร้าน / sample: ค่าบริการติดตั้งขึ้นอยู่กับนโยบายของร้านตัวแทนแต่ละร้านค่ะ 😊 บางร้านซื้อครบชุดอาจติดตั้งให้ฟรี แอดมินแนะนำให้โทรสอบถามกับร้านตัวแทนสาขาที่สะดวกได้เลยนะคะ"
"คู่มือติดตั้ง NX500 คู่มือ cb500x วิธีติดกันล้ม nx500 วิธีติดแร็ค nx500 คู่มือ nx manual nx500 installation nx500 วิธีติด nx คู่มือcb500x คู่มือติดตั้งcb คู่มือnx วิธีติดnx คู่มือcb manual cb500x instal nx500 ติดnx ติดcb วิธีติดตั้ง nx500","- ลิงก์กันล้ม: https://www.dinoco.in.th/Ins-nx-cb-grandrally / - ลิงก์แร็ค: https://www.dinoco.in.th/Ins-nx-rack-grandrally / - ลิงก์กล่อง 45L: https://www.dinoco.in.th/ins-nx-45l-grandrally","guideline: ส่งลิงก์คู่มือตามสินค้าที่ถาม / sample: สินค้าออกแบบมาให้ยึดจุดเดิมของรถค่ะ ถ้าพอมีเครื่องมือสามารถติดตั้งเองได้เลย แอดมินเตรียมลิงก์คู่มือสำหรับ NX500 และ CB500X ไว้ให้แล้วค่ะ 🛠️ กดดูขั้นตอนได้เลยนะคะ"
"คู่มือติดตั้ง xl750 คู่มือ transalp วิธีติดกันล้ม xl750 วิธีติดแร็ค xl750 manual xl750 installation xl750 คู่มือทรานซัลป์ วิธีติดxl750 คู่มือxl วิธีติดxl manual transalp instal xl750 ติดxl750 ทรานซาลป์ ทรานซัลป คู่มือtransalp","- ลิงก์กันล้ม XL750: https://www.dinoco.in.th/ins-xl750-cb-grandrally / - ลิงก์แร็ค XL750: https://www.dinoco.in.th/ins-xl750-toprack","guideline: ส่งลิงก์คู่มือ + เตือนว่าสินค้า XL750 ต้องซื้อที่ BigWing / sample: สำหรับ XL750 แอดมินเตรียมลิงก์คู่มือไว้ให้แล้วค่ะ 🛠️ กดดูขั้นตอนตามภาพประกอบได้เลยนะคะ"
"วิธีติดกล่องข้าง คู่มือติดกล่องข้าง วิธีติด side box manual side case คู่มือกล่องข้าง วิธีติดไซด์เคส คู่มือsidebox ติดกล่องข้างยังไง คู่มือside manual sidebox instal sidebox วิธีติดกล่อง2ข้าง","- ลิงก์กล่องข้าง 37L: https://www.dinoco.in.th/ins-grandtravel-sidebox-37l","guideline: ส่งลิงก์คู่มือ / sample: สำหรับการประกอบและติดตั้งกล่องข้าง ดูรายละเอียดขั้นตอนได้ที่ลิงก์นี้เลยค่ะ 🛠️"
"ข้อยกเว้นประกัน ชนหนัก ประกันขาด ซ่อมไม่ได้ รถชน เคลมไม่ได้ ชนหนักเคลมได้ไหม บิดเบี้ยวซ่อมได้ไหม เสียรูป50% ซ่อมดัดได้ไหม ซ่อมไม่รับ ไม่รับซ่อม ชนหนักทำไง รถล้มหนัก สินค้าพัง ขาดซ่อมได้ไหม ชนหนักมาก พังมาก ซ่อมได้มั้ย ไม่รับซ่อม ซ่อมไม่ได้จริงหรอ เสียรูปมาก ชนหนักจะทำไง ขาดซ่อมได้ป่ะ","- สินค้าที่ชนหนัก บิดเบี้ยว ขาด หรือเสียรูปเกิน 50% จะไม่รับซ่อมดัดไฟเด็ดขาด เพราะโครงสร้างเสียความแข็งแรงไปแล้ว (อันตรายต่อรถ) / - มีชิ้นส่วนอะไหล่แยกขายให้ราคาพิเศษ","guideline: แจ้งข้อยกเว้นชัดเจน + เสนอทางออก (อะไหล่แยก) / sample: แอดมินขอแจ้งข้อยกเว้นเพื่อความปลอดภัยนะคะ 🙏 หากสินค้าชนหนักจนเสียรูปเกิน 50% ทางบริษัทขอสงวนสิทธิ์ไม่รับซ่อมดัดค่ะ เนื่องจากโครงสร้างที่ช้ำหนักอาจส่งผลเสียต่อความแข็งแรงของจุดยึดรถค่ะ แต่เรามี อะไหล่แยกขายราคาพิเศษ เพื่อดูแลกันยาวๆ ค่ะ"
"ADV350 adv adv 350 ของแต่ง ADV350 ของแต่ง adv แร็ค adv กล่อง adv กันล้ม adv350 adv dinoco ของแต่งเอดีวี adv350 ราคา ชุดแต่ง adv350 มีอะไรบ้าง adv350 มีกล่องข้างไหม เอวีดี เอดีวี350 แอดวี adv350 adv 350 ชุดแต่งadv แอดวี350 ของแต่งadv เอดีวี แอ๊ดวี advdinoco ของadv มีอะไรadv adv2024 adv24 เอดีวี 350 เอดีวี350","ADV350 มี: แร็คหลัง และ ชุดกันล้ม / ไม่มีกล่องข้างหรือแร็คข้าง (ข้อจำกัดด้านบาลานซ์และเฟรมรถ) / แนะนำติดคู่กับกล่องหลัง 55L / ราคาจริงต้องเรียก tool dinoco_product_lookup เสมอ ห้ามกุราคาเอง","guideline: แจ้งสินค้าที่มี + เน้นว่าไม่มีกล่องข้าง + เรียก tool เช็คราคาจริง / tool: เรียก dinoco_product_lookup ก่อนบอกราคา / ข้อห้ามเด็ดขาด: ห้ามแนะนำกล่องข้าง/แร็คข้างให้ ADV350 เด็ดขาด ไม่มีสินค้ากล่องข้าง/แร็คข้างสำหรับรถรุ่นนี้ / sample: สำหรับ ADV350 เรามีแร็คหลัง กันล้ม และกล่องอลูมิเนียมค่ะ แนะนำจับคู่กับกล่องหลัง 55L จะสมส่วนมากๆ ค่ะ แอดมินเช็คราคาให้เลยนะคะ"
"ถาดรอง เบสเพลท ถาดกล่อง ถาดบนแร็ค ตัวล็อคกล่อง baseplate base plate ถาดยึดกล่อง quick release ถาดรองกล่องสแตนเลส ถาดล็อค ล็อคปลดไว ถาดสแตนเลส แผ่นรองกล่อง แผ่นยึดกล่อง ถาดกล่อง เบสเพล้ท ถาดรองปี๊บ ถาดqr quick release baseplate ถาดกล่องdinoco","ถาดรองกล่อง DINOCO อัปเกรดเป็นวัสดุสแตนเลส 304 แท้เต็มแผ่น / มีระบบล็อคปลดไว Quick Release / ราคาจริงต้องเรียก tool dinoco_product_lookup เสมอ","guideline: อธิบายสเปค + เรียก tool เช็คราคาจริง / tool: เรียก dinoco_product_lookup / ข้อห้าม: ห้ามกุราคา / sample: ถาดรองกล่อง ปัจจุบันอัปเกรดเป็น สแตนเลส 304 แท้เต็มแผ่นแล้วค่ะ แข็งแรงทนทาน ไม่เป็นสนิม และมีระบบล็อคปลดไว (Quick Release) ที่แน่นหนาค่ะ แอดมินเช็คราคาให้เลยนะคะ"
